Unnamed: 0,TMDB_ID,Title,Rating,Keywords,Poster_Link,Plot_Story,Genre1,Genre2
17764,1139816,a brother story,6.0,coming of age,https://image.tmdb.org/t/p/original/l91EeHu5jVJYBSldHqIzjmE2PjC.jpg,"In this coming of age drama, 10 year old Max evades the harsh realities of the world around him by escaping to his hidden oasis in the woods with his older brother Jack.",12,18.0
17765,1121295,the job,6.0,"dark comedy, romantic comedy, first anniversary, revenge thriller, suspense, thriller",https://image.tmdb.org/t/p/original/b8HH6vyex7IUCRcLQdV9eoZMMeC.jpg,Nick & Anna's first wedding anniversary gets interrupted by an assassin who claims Nick stole money from him which puts their marriage in jeopardy.,18,35.0
17766,1108736,a heist film,10.0,"robber, heist, bank robbery, filmmaking, heist gone wrong, screenwriting, bank cashier, bank heist, script, short film, experimental",https://image.tmdb.org/t/p/original/m92zdMVlXSwlLwJUU9WBW2iLyVn.jpg,"In a local cafeteria, an unlikely trio of friends argue about how to rob the bank from across the street. It all changes when the waitress who serves them discovers their plans.",28,35.0
17767,1100274,loop,10.0,"fight, plot twist, violent",https://image.tmdb.org/t/p/original/8CiHnjehUJtTfAWXqvckdLkjvpt.jpg,"After responding to a distress call, a police officer finds himself face to face with his greatest adversary... himself.",28,53.0
17769,1056446,cheaders creek,8.0,"cheating, darkness, betrayal, black and white, crime syndicate, rock paper scissors, short film, student film",https://image.tmdb.org/t/p/original/tGa3RLjSLYFrdMkWhQgpnp70p5e.jpg,"When Peloso, a mob lieutenant, is accused of stealing 20,000 from Leito, a mob boss, he is sent into the woods with Leito's top goon, Vinnie ""The Scissor"" as punishment.",80,27.0
17773,1035584,wish we never met,7.5,photo,https://image.tmdb.org/t/p/original/9K5fZRGafXLpG5aKhfmWmq9lidH.jpg,"A cursed photo is found by a guy walking on the streets. Mesmerized and curious to find who his girl is he aimlessly wanders around Chicago to find her. He asks friends and strangers. And comes out with no answers.  On the verge of giving up, he starts to follow a person who he thinks resembles the girl that is in the photo. The pretty girl holding a peace sign in the photo is the girl he starts following. The boy is run over by a car because he was so distracted by the photo.  In the end, the girl in the photo disappears as she is a ghost and the peace sign she was holding in the photo changes to her holding three fingers up, as the hand was never making a peace sign but showing a count.",18,27.0
17774,1009872,those who wander,10.0,"darkness, short film, experimental, experimental cinema, experimental documentary",https://image.tmdb.org/t/p/original/vTrGNefDw2wtBHhqyd2BdsdgAb5.jpg,"What are they? What do they seek? When all the lights go out, they will wander. And you will never see them.",27,9648.0
17776,1005053,bumpo saves the day,10.0,"surreal, musical, absurdism, absurdist humor",https://image.tmdb.org/t/p/original/bgEBnO7liL1eUMPZNa2bvso1382.jpg,"After making a wish on a shooting star, a young cartoon character must go on a musical journey to fight his creator in this absurdist mixed media adventure.",16,35.0
17777,998134,harvested 2,10.0,"monster, holiday, slasher",https://image.tmdb.org/t/p/original/4MJK0zWqLl5IXFt3vZ3iB7VNiqn.jpg,"Harvested 2 (2022), The Legend of Harold Rice is the holiday horror sequel to Harvested (2021). The story of a group of social media influencers who travel to Hayfork, CA on Thanksgiving Day to get footage of the Harvest Monster aka Harold Rice. While chasing fame, fortune and likes, they soon come face to face with the urban legend who owns the night. Although the plot is predicated on influencer culture and social media relevancy, Harvested 2 has elements from horror films of the 60's, 70's, and 80's as well as 90's slasher vibes.  Cortney Elise, will be making her streaming debut along-side Ruby Lee Dove, Hana Wu, Meg Cherilus, Amber Perez, Jenna Nimri and Gregor Haley. Written and Directed by the 23X international award winning filmmaker Alex West, Harvested 2 will be released to streaming on Thursday November 24, 2022 where it will be FREE to the public. Because it is a Culture Forward TV original film, it will only be available on Culture Forward TV on Roku!",27,53.0
17778,994956,the bird of paradise,10.0,"high school, red hair, hairstyle, coming of age, bird of paradise, self acceptance",https://image.tmdb.org/t/p/original/iSJseQGBqRtKmSvChMJIJMvS2lZ.jpg,A colorful exploration into a lost girl's journey to self-acceptance as she learns to find her wings.,18,10751.0
